Circle 1: x=808, y=277, r=34;
Circle 2: x=887, y=772, r=15;
Circle 3: x=628, y=535, r=6;
Circle 4: x=283, y=532, r=44;
Circle 5: x=920, y=357, r=24;
Circle 6: x=862, y=578, r=9;
Circle 7: x=137, y=813, r=20;
Circle 8: x=104, y=126, r=26;
Circle 9: x=794, y=205, r=35;
Circle 10: x=280, y=713, r=12;
Circle 11: x=470, y=724, r=7;
Circle 12: x=969, y=710, r=40;
Circle 13: x=542, y=749, r=13;
Circle 14: x=863, y=241, r=12;
Circle 15: x=413, y=667, r=35;
Circle 16: x=356, y=898, r=49;
Circle 17: x=218, y=176, r=27;
Circle 18: x=786, y=112, r=30;
Circle 19: x=548, y=33, r=13;
Circle 20: x=582, y=554, r=12;
Circle 21: x=276, y=934, r=15;
Circle 22: x=894, y=702, r=44;
Circle 23: x=380, y=893, r=5;
Circle 24: x=454, y=51, r=10;
Circle 25: x=806, y=952, r=37;
Circle 26: x=108, y=270, r=7;
Circle 27: x=71, y=152, r=23;
Circle 28: x=720, y=418, r=36;
Circle 29: x=615, y=342, r=9;
Circle 30: x=40, y=583, r=45;
Circle 31: x=317, y=698, r=50;
Circle 32: x=492, y=810, r=7;
Circle 33: x=983, y=345, r=35;
Circle 34: x=643, y=336, r=23;
Circle 35: x=630, y=537, r=8;
Circle 36: x=930, y=256, r=45;
Circle 37: x=382, y=869, r=45;
Circle 38: x=322, y=583, r=26;
Circle 39: x=391, y=841, r=43;
Circle 40: x=492, y=722, r=6;
Circle 41: x=920, y=87, r=37;
Circle 42: x=533, y=626, r=21;
Circle 43: x=919, y=972, r=23;
Circle 44: x=953, y=352, r=6;
Circle 45: x=194, y=373, r=21;
Circle 46: x=856, y=813, r=28;
Circle 47: x=229, y=344, r=18;
Circle 48: x=411, y=202, r=5;
Circle 49: x=503, y=623, r=7;
Circle 50: x=656, y=216, r=17;
Circle 51: x=240, y=480, r=50;
Circle 52: x=22, y=551, r=34;
Circle 53: x=40, y=730, r=18;
Circle 54: x=647, y=928, r=25;
Circle 55: x=477, y=465, r=28;
Circle 56: x=55, y=161, r=39;
Circle 57: x=322, y=199, r=40;
Circle 58: x=532, y=95, r=19;
Circle 59: x=122, y=431, r=26;
Circle 60: x=413, y=967, r=47;
Circle 61: x=168, y=337, r=43;
Circle 62: x=146, y=589, r=10;
Circle 63: x=149, y=613, r=29;
Circle 64: x=183, y=473, r=21;
Circle 65: x=13, y=621, r=36;
Circle 66: x=691, y=389, r=16;
Circle 67: x=193, y=217, r=43;
Circle 68: x=32, y=27, r=43;
Circle 69: x=286, y=335, r=24;
Circle 70: x=1000, y=520, r=43;
Circle 71: x=422, y=315, r=27;
Circle 72: x=853, y=298, r=18;
Circle 73: x=945, y=138, r=20;
Circle 74: x=740, y=325, r=46;
Circle 75: x=479, y=565, r=46;
Circle 76: x=898, y=412, r=8;
Circle 77: x=529, y=170, r=48;
Circle 78: x=333, y=650, r=32;
Circle 79: x=688, y=911, r=34;
Circle 80: x=873, y=968, r=5;
Circle 81: x=892, y=825, r=25;
Circle 82: x=708, y=976, r=22;
Circle 83: x=835, y=241, r=23;
Circle 84: x=618, y=560, r=21;
Circle 85: x=36, y=150, r=16;
Circle 86: x=994, y=160, r=44;
Circle 87: x=373, y=252, r=42;
Circle 88: x=201, y=417, r=30;
Circle 89: x=494, y=718, r=35;
Circle 90: x=520, y=119, r=19;
Circle 91: x=908, y=540, r=9;
Circle 92: x=283, y=104, r=10;
Circle 93: x=961, y=446, r=5;
Circle 94: x=142, y=69, r=13;
Circle 95: x=759, y=740, r=45;
Circle 96: x=337, y=285, r=38;
Circle 97: x=120, y=824, r=34;
Circle 98: x=526, y=701, r=14;
Circle 99: x=996, y=60, r=50;
